pdf,pages,text_chars,table_count,has_heat_treatment_terms,has_mechanical_terms,has_fatigue_terms,text_file,tables_dir
01_ScienceDirect_S0142112319304967.pdf,12,61851,0,True,True,True,ml_project/extracted_data/text/01_ScienceDirect_S0142112319304967.txt,
02_AerospaceMfg_improving-fatigue-life.pdf,6,7294,6,True,True,True,ml_project/extracted_data/text/02_AerospaceMfg_improving-fatigue-life.txt,ml_project/extracted_data/tables/02_AerospaceMfg_improving-fatigue-life
03_MDPI_metals-16-00057.pdf,21,57972,0,True,True,True,ml_project/extracted_data/text/03_MDPI_metals-16-00057.txt,
04_Mackenzie_RafaelEringerCubi_thesis.pdf,76,113611,41,True,True,True,ml_project/extracted_data/text/04_Mackenzie_RafaelEringerCubi_thesis.txt,ml_project/extracted_data/tables/04_Mackenzie_RafaelEringerCubi_thesis
05_Wiley_ffe14163_SanchezCamargo2023.pdf,16,51740,1,True,True,True,ml_project/extracted_data/text/05_Wiley_ffe14163_SanchezCamargo2023.txt,ml_project/extracted_data/tables/05_Wiley_ffe14163_SanchezCamargo2023
06_AdditiveMfg_S2214860420308149.pdf,14,46915,0,True,True,True,ml_project/extracted_data/text/06_AdditiveMfg_S2214860420308149.txt,
07_HAL_SP_Effect_on_brut_FA.pdf,38,47706,6,True,True,True,ml_project/extracted_data/text/07_HAL_SP_Effect_on_brut_FA.txt,ml_project/extracted_data/tables/07_HAL_SP_Effect_on_brut_FA
08_ResearchGate_annealing_Inconel718.pdf,13,35610,3,True,True,True,ml_project/extracted_data/text/08_ResearchGate_annealing_Inconel718.txt,ml_project/extracted_data/tables/08_ResearchGate_annealing_Inconel718
09_ScienceDirect_S0142112325002269.pdf,17,79680,0,True,True,True,ml_project/extracted_data/text/09_ScienceDirect_S0142112325002269.txt,
10_ScienceDirect_S0142112322005370.pdf,13,63563,0,True,True,True,ml_project/extracted_data/text/10_ScienceDirect_S0142112322005370.txt,
11_ScienceDirect_S074964192400264X.pdf,17,85072,0,True,True,True,ml_project/extracted_data/text/11_ScienceDirect_S074964192400264X.txt,
12_ScienceDirect_S1044580323007453.pdf,9,44263,0,True,True,True,ml_project/extracted_data/text/12_ScienceDirect_S1044580323007453.txt,
13_SSRN_4475191.pdf,36,51053,9,True,True,True,ml_project/extracted_data/text/13_SSRN_4475191.txt,ml_project/extracted_data/tables/13_SSRN_4475191
15_ScienceDirect_S0142112323001512.pdf,14,63870,0,True,True,True,ml_project/extracted_data/text/15_ScienceDirect_S0142112323001512.txt,
NEW01_wang2015.pdf,9,36651,7,True,True,False,ml_project/extracted_data/text/NEW01_wang2015.txt,ml_project/extracted_data/tables/NEW01_wang2015
NEW02_watring2019.pdf,11,51381,0,True,True,True,ml_project/extracted_data/text/NEW02_watring2019.txt,
NEW03_kim2020.pdf,10,41669,0,True,True,True,ml_project/extracted_data/text/NEW03_kim2020.txt,
NEW04_Microstructural_evolution_and_mechanical_properties_of_Inconel_718_alloy_manufactured_by.pdf,12,30239,0,True,True,False,ml_project/extracted_data/text/NEW04_Microstructural_evolution_and_mechanical_properties_of_Inconel_718_alloy_manufactured_by.txt,
NEW05_witkin2020.pdf,12,61927,0,True,True,True,ml_project/extracted_data/text/NEW05_witkin2020.txt,
NEW06_Effect_of_Scan_Speed_and_Laser_Power_on_the_Nature_of_Defects_Microstructures_and_Microhar.pdf,14,53824,0,True,True,False,ml_project/extracted_data/text/NEW06_Effect_of_Scan_Speed_and_Laser_Power_on_the_Nature_of_Defects_Microstructures_and_Microhar.txt,
